"nome","resumo","coordenador"
"CORUJA-SAPPLI: FOLHETIM ACADÊMICO DE LETRAS E SEMANA DE PESQUISA E PRODUÇÃO LITERÁRIA","Em breve este conteúdo estará disponível.","Adriana De Souza Jordão Gonçalves "
"REVISÃO DE TEXTOS NA ASSESSORIA DE COMUNICAÇÃO DA OUVIDORIA","Em breve este conteúdo estará disponível.","Ana Carolina De Azevedo Jacuá "
"MONITORIA EM LITERATURA BRASILEIRA IV","Em breve este conteúdo estará disponível.","Ana Karla Carvalho Canarinos "
"REGIONALISMO E ENSINO DE LITERATURA BRASILEIRA","Em breve este conteúdo estará disponível.","Ana Karla Carvalho Canarinos "
"PRÁTICAS DE LEITURA ORALIDADE E ESCRITA COM ALUNOS DO ENSINO MÉDIO","Em breve este conteúdo estará disponível.","Andrea Rodrigues "
"MONITORIA EM CULTURA INGLESA I","Em breve este conteúdo estará disponível.","Bruno De Sa Ferreira "
"CENÁRIOS DO ANTROPOCENO E NARRATIVAS DO FIM: TEORIA LITERÁRIA PARA UM MUNDO DANIFICADO","Em breve este conteúdo estará disponível.","Carolina Correia Dos Santos "
"ESCRITA DE MULHERES NA CONTEMPORANEIDADE: DOS PROCESSOS DE CRIAÇÃO À RECEPÇÃO","Em breve este conteúdo estará disponível.","Cassiana Lima Cardoso Vieira "
"O USO DA MÍDIA DIGITAL NA CONSTITUIÇÃO DE REPOSITÓRIO DE MATERIAL DIDÁTICO ADAPTADO","Em breve este conteúdo estará disponível.","Ceres Ferreira Carneiro "
"MONITORIA EM LÍNGUA PORTUGUESA II","Em breve este conteúdo estará disponível.","Charleston De Carvalho Chaves "
"LABORATÓRIO DE INTERPRETAÇÃO DE TEXTOS (LAB-IT)","Em breve este conteúdo estará disponível.","Charleston De Carvalho Chaves "
"LIVROS DIDÁTICOS DE LÍNGUA PORTUGUESA: MEMÓRIA E REFLEXÃO","Em breve este conteúdo estará disponível.","Claudia Moura Da Rocha "
"MONITORIA DE LÍNGUA FRANCESA 1","Em breve este conteúdo estará disponível.","Daniel Augusto Pereira Silva "
"ESCRITÓRIO MODELO DE TRADUÇÃO ANA CRISTINA CÉSAR","Em breve este conteúdo estará disponível.","Daniel Augusto Pereira Silva "
"VICE-VERSA. RELAÇÕES INTERCULTURAIS NA PRÁTICA","Em breve este conteúdo estará disponível.","Danilo Chiovatto Serpa "
"UNATI/LETI LÍNGUAS ESTRANGEIRAS PARA A TERCEIRA IDADE (FRANCÊS) - MÓDULO I E MÓDULO II","Em breve este conteúdo estará disponível.","Deise Quintiliano Pereira "
"OFICINAS ON-LINE DE GREGO PARA CRIANÇAS – LICOMZINHO","Em breve este conteúdo estará disponível.","Dulcileide Virginio Do Nascimento Braga "
"CLUBE NIPÔNICO DE INTRODUÇÃO AOS ESTUDOS JAPONESES PARA O CAP- UERJ","Em breve este conteúdo estará disponível.","Elisa Figueira De Souza Corrêa "
"MONITORIA TEORIA DA LITERATURA II/RENOVAÇÃO (IDENTIFICAÇÃO: 5470 / 2020)","Em breve este conteúdo estará disponível.","Felipe Bastos Mansur Da Silva "
